times collected,species
1,Acidodontium subrotundum (Taylor) Wilson
1,Aloina brevirostris (Hook. & Grev.) Kindb.
1,Anoectangium aestivum (Hedwig) Mitten
1,Anomobryum apiculatum (Schwägr.) D. Bell & Holyoak
1,Aongstroemia grevilleana (Brid.) Müll. Hal.
1,Aplodon wormskioldii (Hornem.) R. Br.
1,"Aquilonium adscendens (Lindb.) Hedenäs, Schlesak & D. Quandt"
1,Bartramia brevifolia Brid.
1,Bartramia microstoma Mitt.
1,Bartramia subulata subsp. Americana Fransén
1,Brachythecium capillaceum (F. Weber & D. Mohr) Giacom.
1,Brachythecium erythrorrhizon var. Alpinum Kosovich-Anderson & Ignatov
1,Brachythecium falcatum (Grout) H.A. Crum
1,Brachythecium lamprocarpum (Müll. Hal.) A. Jaeger
1,Brachythecium mildeanum (Schimp.) Schimp. ex Milde
1,Brachythecium novae-angliae (Sull. & Lesq.) Austin
1,Brachythecium velutinum var. Velutinum
1,Brotherella recurvans (Michx.) M. Fleisch.
1,Bruchia hallii Austin
1,Bryoerythrophyllum aeneum (Müll. Hal.) B.H. Allen
1,Bryoerythrophyllum columbianum (F.J. Herm. & E. Lawton) R.H. Zander
1,Bryoerythrophyllum recurvirostrum (Hedw.) P.C. Chen
1,Bryolawtonia vancouveriensis (Kindb.) D.H. Norris & Enroth
1,Callicostella pallida (Hornsch.) Spruce
1,Calliergonellopsis dieckii (Renauld & Cardot) Jan Kučera & Ignatov
1,Calymperes levyanum Besch.
1,Campylopus flexuosus (Hedw.) Brid.
1,Campylopus fragilis (Brid.) Bruch & Schimp.
1,Ceratodon conicus (Hampe ex Müll. Hal.) Lindb.
1,"Chionoloma richardsii (E.B. Bartram) M. Alonso, M.J. Cano & J.A. Jiménez"
1,Clasmatodon parvulus (Hampe) Sull.
1,Crossidium crassinervium (De Not.) Jur.
1,Cynodontium jenneri (Schimp.) Stirt.
1,Cyrtomnium hymenophyllum (Bruch & Schimp.) Holmen
1,Desmatodon latifolius var. Latifolius
1,Dicranella heteromalla (Hedw.) Schimp.
1,Dicranum condensatum Hedw.
1,Dicranum spurium Hedw.
1,Ditrichum heteromallum (Hedw.) E. Britton
1,Ditrichum rhynchostegium Kindb.
1,Drepanocladus exannulatus var. Typicus
1,Drepanocladus fluitans var. Brachydictyus
1,Encalypta brevicolla (Bruch & Schimp.) Ångstr.
1,Encalypta spathulata Müll. Hal.
1,Encalypta vulgaris var. Rhabdocarpa
1,Entodon seductrix (Hedw.) Müll. Hal.
1,Entosthodon fascicularis (Hedw.) Müll. Hal.
1,Entosthodon tucsoni (E.B. Bartram) Grout
1,Eurhynchium pulchellum var. Pulchellum
1,Eurhynchium striatum (Schreb. ex Hedw.) Schimp.
1,Fabronia ciliaris subsp. Ciliaris
1,Fabronia schimperiana De Not.
1,Fissidens curvatus Hornsch.
1,Fissidens dubius P. Beauv.
1,Fissidens minutulus Sull.
1,Geheebia gigantea (Funck) Boulay
1,Gemmabryum valparaisense (Thér.) J.R. Spence
1,Grimmia alpestris var. Alpestris
1,Grimmia fuscolutea Hook.
1,Grimmia pulvinata var. Pulvinata
1,Grimmia ungeri Jur.
1,Grimmia unicolor Hook. ex Grev.
1,Hennediella longipedunculata (Müll. Hal.) R.H. Zander
1,Herzogiella turfacea (Lindb.) Z. Iwats.
1,Heterophyllium haldaneanum (Grev.) M. Fleisch.
1,Husnotiella johansenii (R.S. Williams) J.A. Jiménez & M.J. Cano
1,Hypnodendron arcuatum (Hedw.) Lindb.
1,Imbribryum miniatum (Lesq.) J.R. Spence
1,Isopterygiella alpicola (Lindb.) Ignatov & Ignatova
1,"Koponeniella graminicolor (Brid.) Huttunen, Ignatov, Min Li & Y.F. Wang"
1,Lescuraea stenophylla (Renauld & Cardot) Kindb.
1,Leskea gracilescens Hedw.
1,Leskea obscura Hedw.
1,Leucobryum aduncum Dozy & Molk.
1,Leucobryum glaucum (Hedw.) Ångstr.
1,"Lewinskya killiasii (Müll. Hal.) Kiebacher, Köckinger & Jan Kučera"
1,"Lewinskya pylaisii (Brid.) F. Lara, Garilleti & Goffinet"
1,"Lewinskya sordida (Sull. & Lesq.) F. Lara, Garilleti & Goffinet"
1,"Lewinskya striata (Hedw.) F. Lara, Garilleti & Goffinet"
1,Loeskypnum badium (Hartm.) H.K.G. Paul
1,Loeskypnum wickesiae (Grout) Tuom.
1,Meesia minor Brid.
1,"Merceyopsis cataractae (Mitt.) Brinda, Ignatov & Fedosov"
1,Microbryum starckeanum (Hedw.) R.H. Zander
1,Neckera douglasii Hook.
1,Ochiobryum handelii (Broth.) J.R. Spence & H.P. Ramsay
1,Orthothecium intricatum (Hartm.) Schimp.
1,Orthotrichum Hedw.
1,Orthotrichum columbicum Mitt.
1,Orthotrichum consimile Mitt.
1,Orthotrichum ohioense Sull. & Lesq.
1,Orthotrichum tenellum Bruch ex Brid.
1,Philonotis caespitosa Jur.
1,Physcomitrium hookeri Hampe
1,Physcomitrium immersum Sull.
1,Pireella pohlii (Schwägr.) Cardot
1,Plagiobryoides renauldii (Röll) J.R. Spence
1,Plagiomnium acutum (Lindb.) T.J. Kop.
1,Plagiomnium drummondii (Bruch & Schimp.) T.J. Kop.
1,Plagiomnium elatum (Bruch & Schimp.) T.J. Kop.
1,Plagiomnium undulatum (Hedw.) T.J. Kop.
1,Plagiopus alpinus (Schwägr.) Hedenäs
1,Plagiothecium sylvaticum (Brid.) Schimp.
1,Pohlia excelsa Kindb.
1,Pohlia filum (Schimp.) Mårtensson
1,Pohlia lescuriana (Sull.) Grout
1,Polytrichadelphus longisetus (Brid.) Mitt.
1,Polytrichum appalachianum L.E. Anderson
1,Polytrichum xanthopilum Wilson ex Mitt.
1,Pseudobraunia californica (Lesq.) Broth.
1,Pseudohygrohypnum eugyrium (Schimp.) Kanda
1,Pseudoleskeella papillosa (Lindb.) Kindb.
1,Ptychostomum arcticum (R. Br.) J.R. Spence
1,Ptychostomum calophyllum (R. Br.) J.R. Spence
1,"Pulvigera papillosa (Hampe) F. Lara, Draper & Garilleti"
1,Pylaisia selwynii Kindb.
1,Pyrrhobryum spiniforme (Hedw.) Mitt.
1,Racomitrium aciculare (Hedw.) Brid.
1,Rhizomnium andrewsianum (Steere) T.J. Kop.
1,Rhizomnium glabrescens (Kindb.) T.J. Kop.
1,Rhynchostegium aquaticum Spruce
1,Rhynchostegium complanum (Mitt.) A. Jaeger
1,Rhytidiadelphus loreus (Hedw.) Warnst.
1,Ruficaulis rufescens (Dicks.) Bonfim Santos & Fedosov
1,Sanionia nivalis Hedenäs
1,Schistidium atrofuscum (Schimp.) Limpr.
1,Schistidium readeri (Broth.) Ochyra & J. Muñoz
1,Schistidium recurvum H.H. Blom
1,Schistidium rivulare subsp. Rivulare
1,Schistidium robustum (Nees & Hornsch.) H.H. Blom
1,Schistidium venetum H.H. Blom
1,Schistidium viride H.H. Blom & Darigo
1,Scleropodium cespitans (Müll. Hal.) L.F. Koch
1,Sphagnum cuspidatum Ehrh. ex Hoffm.
1,Sphagnum fallax (H. Klinggr.) H. Klinggr.
1,Sphagnum tenellum (Brid.) Bory
1,Stegonia hyalinotricha (Cardot & Thér.) R.H. Zander
1,Stereodontopsis excavata (Broth.) Ando
1,Symblepharis vaginata (Hook. ex Harv.) Wijk & Margad.
1,Syntrichia fragilis (Taylor) Ochyra
1,Syntrichia obtusissima (Müll. Hal.) R.H. Zander
1,Syntrichia rubella (Hook. F. & Wilson) R.H. Zander
1,Tayloria serrata (Hedw.) Bruch & Schimp.
1,Thuidium blandovii (F. Weber & D. Mohr) Schimp.
1,Thuidium recognitum (Hedw.) Lindb.
1,Tortella rigens Alberts.
1,Tortula canescens Mont.
1,Tortula porteri (James) Broth.
1,Tortula protobryoides R.H. Zander
1,Tortula truncata (Hedw.) Mitt.
1,Trichostomum crispulum Bruch
1,Ulota crispa (Hedw.) Brid.
1,Ulota crispula Bruch
1,Ulota curvifolia D. Mohr
1,Weissia andrewsii E.B. Bartram
1,Weissia jamaicensis (Mitt.) Grout
2,Aloina bifrons (De Not.) Delgad.
2,Aloina hamulus (Müll. Hal.) Broth.
2,Andreaea nivalis Hook.
2,Anoectangium aestivum (Hedw.) Spruce
2,Arctoa blyttii (Bruch & Schimp.) Loeske
2,Atrichum altecristatum (Renauld & Cardot) Smyth & L.C.R. Smyth
2,Atrichum angustatum (Brid.) Bruch & Schimp.
2,Aulacomnium heterostichum (Hedw.) Bruch & Schimp.
2,Bartramia breviseta Lindb.
2,Brachymenium wrightii (Sull.) Broth.
2,Brachythecium glareosum (Bruch & Schimp. ex Fiedl.) Schimp.
2,Brachythecium ruderale (Brid.) W.R. Buck
2,Brachythecium salebrosum var. Salebrosum
2,Bryoandersonia illecebra (Hedw.) H. Rob.
2,Bryoxiphium norvegicum (Brid.) Mitt.
2,Bryum veronense De Not.
2,Buxbaumia viridis (Moug. ex Dc.) Brid. ex Moug. & Nestl.
2,Callicladium haldaneanum (Grev.) H.A. Crum
2,Calliergon megalophyllum Mikut.
2,Claopodium crispifolium (Hook.) Renauld & Cardot
2,Cnestrum schisti (F. Weber & D. Mohr) I. Hagen
2,Conostomum tetragonum (Hedw.) Lindb.
2,Ctenidium molluscum (Hedw.) Mitt.
2,Cynodontium strumiferum (Hedw.) Lindb.
2,Cynodontium tenellum (Schimp.) Limpr.
2,Cyrtomnium hymenophylloides (Huebener) T.J. Kop.
2,Dannorrisia bigelovii (Sull.) Enroth
2,Dicranodontium denudatum (Brid.) E. Britton
2,Dicranum majus Turner
2,Ditrichum pallidum (Hedw.) Brockm.
2,Ditrichum pusillum (Hedw.) Hampe
2,Drepanocladus trifarius (F. Weber & D. Mohr) Broth.
2,Entosthodon americanus (Lindb.) Fife
2,Geheebia fallax (Hedw.) R.H. Zander
2,Geheebia lurida (Hornsch. ex Spreng.) J.A. Jiménez & M.J. Cano
2,Gemmabryum coronatum (Schwägr.) J.R. Spence & H.P. Ramsay
2,Gertrudiella nevadensis (R.H. Zander) J.A. Jiménez & M.J. Cano
2,Grimmia bicolor Herzog
2,Grimmia decipiens (Schultz) Lindb.
2,Grimmia hartmanii Schimp.
2,Grimmia muehlenbeckii Schimp.
2,Grimmia orbicularis Bruch ex Wilson
2,Grimmia tergestina Tomm. ex Bruch & Schimp.
2,Heterocladium macounii Best
2,Homalothecium fulgescens (Mitt. ex Müll. Hal.) A. Jaeger
2,Homalothecium nuttallii (Wilson) A. Jaeger
2,Husnotiella revoluta Cardot
2,Hydrogonium arcuatum (Griff.) Wijk & Margad.
2,Hymenostylium recurvirostrum var. Recurvirostrum
2,Hyophiladelphus agrarius (Hedw.) R.H. Zander
2,Hypnum fujiyamae (Broth.) Paris
2,Isopterygiopsis muelleriana (Schimp.) Z. Iwats.
2,Kindbergia praelonga (Hedw.) Ochyra
2,Leucolepis acanthoneuros (Schwägr.) Lindb.
2,Orthotrichum laevigatum F. Laevigatum
2,Palustriella decipiens (De Not.) Ochyra
2,Philonotis seriata Mitt.
2,Plagiobryoides vinosula (Cardot) J.R. Spence
2,Plagiomnium venustum (Mitt.) T.J. Kop.
2,Plagiothecium denticulatum var. Obtusifolium (Turner) Moore
2,Plagiothecium undulatum (Hedw.) Schimp.
2,Plasteurhynchium striatulum (Spruce) M. Fleisch.
2,Polytrichum jensenii I. Hagen
2,Polytrichum ohioense Renauld & Cardot
2,Pottiopsis sweetii (E.B. Bartram) Ros & O. Werner
2,Pseudisothecium stoloniferum (Brid.) Grout
2,Pseudobryum cinclidioides (Huebener) T.J. Kop.
2,Pseudohygrohypnum fertile (Sendtn.) Jan Kučera & Ignatov
2,Ptychostomum archangelicum (Bruch & Schimp.) J.R. Spence
2,Ptychostomum funkii (Schwägr.) J.R. Spence
2,Pylaisia intricata (Hedw.) Schimp.
2,Racomitrium heterostichum (Hedw.) Brid.
2,Rhabdoweisia crispata (Dicks.) Lindb.
2,Rhizomnium gracile T.J. Kop.
2,Rhynchostegium serrulatum (Hedw.) Austin
2,Sarmentypnum tundrae (Arnell) Hedenäs
2,Schistidium canadense (Dupr.) Ignatova & H.H. Blom
2,Schistidium cinclidodonteum (Müll. Hal.) B. Bremer
2,Schistidium subincurvum (Austin) Ochyra
2,Sciuro-Hypnum hylotapetum (B.L. Higinb. & N.L. Higinb.) Ignatov & Huttunen
2,Sciuro-Hypnum populeum (Hedw.) Ignatov & Huttunen
2,Scleropodium touretii (Brid.) L.F. Koch
2,Sphagnum compactum Dc.
2,Splachnum sphaericum Hedw.
